symbol,profile,faithful_n_trades,faithful_max_dd_%,faithful_total_return_%,faithful_win_rate_%,faithful_profit_factor,recommended_n_trades,recommended_max_dd_%,recommended_total_return_%,recommended_win_rate_%,recommended_profit_factor
BTCUSDT,FAIBLE,283,-3.0,7.9,40.3,1.81,354,-11.8,26.8,38.7,1.74
BTCUSDT,MODERE,283,-5.8,21.0,40.3,1.97,354,-19.5,60.2,37.9,1.84
BTCUSDT,AGRESSIF,283,-8.7,37.7,40.3,2.05,354,-24.5,85.8,37.9,1.88
BTCUSDT,TRES_AGRESSIF,296,-18.3,45.6,38.2,1.65,354,-27.3,123.1,37.9,2.03
ETHUSDT,FAIBLE,286,-3.9,3.4,39.9,1.39,364,-11.7,9.0,41.8,1.34
ETHUSDT,MODERE,286,-10.3,8.1,39.9,1.41,364,-24.2,23.9,41.2,1.42
ETHUSDT,AGRESSIF,286,-18.6,13.4,39.9,1.41,364,-32.6,44.7,41.2,1.51
ETHUSDT,TRES_AGRESSIF,294,-28.0,28.5,37.8,1.52,364,-47.8,38.2,39.3,1.41
BNBUSDT,FAIBLE,296,-4.1,8.2,43.2,1.78,430,-14.2,11.6,43.0,1.34
BNBUSDT,MODERE,296,-8.7,19.5,43.2,1.86,430,-24.3,23.6,42.3,1.35
BNBUSDT,AGRESSIF,296,-14.2,32.3,43.2,1.88,430,-28.7,24.0,42.3,1.29
BNBUSDT,TRES_AGRESSIF,307,-21.3,70.2,41.7,2.04,430,-29.1,77.0,42.3,1.55
SOLUSDT,FAIBLE,185,-1.5,8.8,47.6,2.78,210,-5.1,35.1,47.6,2.78
SOLUSDT,MODERE,185,-3.7,20.3,47.6,2.8,210,-10.4,82.1,47.6,2.81
SOLUSDT,AGRESSIF,185,-6.8,34.3,47.6,2.78,210,-15.6,148.5,47.6,2.88
SOLUSDT,TRES_AGRESSIF,192,-14.5,66.6,44.8,2.85,210,-30.1,258.8,46.7,3.09
